State,commodity,Year,target_year,target_next_year_production,total_production,production_lag_1,production_lag_2,production_lag_3,rolling_3_mean,rolling_5_mean,yoy_pct_change,state_share_of_commodity,production_rank_in_commodity_year,years_observed_so_far,expanding_mean_to_date
SOUTH DAKOTA,Milk,1930,1931,2180000000.0,2197000000.0,,,,2197000000.0,2197000000.0,,0.021935342159388166,16.0,1,2197000000.0
TENNESSEE,Milk,1930,1931,1648000000.0,1592000000.0,,,,1592000000.0,1592000000.0,,0.01589488607999361,20.0,1,1592000000.0
TEXAS,Milk,1930,1931,3858000000.0,3655000000.0,,,,3655000000.0,3655000000.0,,0.036492342099482815,10.0,1,3655000000.0
UTAH,Milk,1930,1931,578000000.0,575000000.0,,,,575000000.0,575000000.0,,0.005740929331655984,38.0,1,575000000.0
VERMONT,Milk,1930,1931,1336000000.0,1291000000.0,,,,1291000000.0,1291000000.0,,0.01288963437768326,21.0,1,1291000000.0
VIRGINIA,Milk,1930,1931,1324000000.0,1234000000.0,,,,1234000000.0,1234000000.0,,0.012320533556979972,23.0,1,1234000000.0
WASHINGTON,Milk,1930,1931,1711000000.0,1663000000.0,,,,1663000000.0,1663000000.0,,0.016603766049641568,19.0,1,1663000000.0
WEST VIRGINIA,Milk,1930,1931,793000000.0,731000000.0,,,,731000000.0,731000000.0,,0.0072984684198965635,34.0,1,731000000.0
WISCONSIN,Milk,1930,1931,11305000000.0,11207000000.0,,,,11207000000.0,11207000000.0,,0.11189320873020628,1.0,1,11207000000.0
WYOMING,Milk,1930,1931,284000000.0,282000000.0,,,,282000000.0,282000000.0,,0.002815551428742587,42.0,1,282000000.0
ALABAMA,Milk,1931,1932,1224000000.0,1167000000.0,1134000000.0,,,1150500000.0,1150500000.0,0.0291005291005291,0.011326907957953585,25.0,2,1150500000.0
ARIZONA,Milk,1931,1932,200000000.0,200000000.0,194000000.0,,,197000000.0,197000000.0,0.030927835051546393,0.001941201021071737,44.0,2,197000000.0
ARKANSAS,Milk,1931,1932,1251000000.0,1167000000.0,1092000000.0,,,1129500000.0,1129500000.0,0.06868131868131869,0.011326907957953585,25.0,2,1129500000.0
CALIFORNIA,Milk,1931,1932,4118000000.0,4052000000.0,4002000000.0,,,4027000000.0,4027000000.0,0.01249375312343828,0.03932873268691339,9.0,2,4027000000.0
COLORADO,Milk,1931,1932,1016000000.0,1062000000.0,1086000000.0,,,1074000000.0,1074000000.0,-0.022099447513812154,0.010307777421890924,28.0,2,1074000000.0
CONNECTICUT,Milk,1931,1932,645000000.0,619000000.0,594000000.0,,,606500000.0,606500000.0,0.04208754208754209,0.006008017160217026,36.0,2,606500000.0
DELAWARE,Milk,1931,1932,126000000.0,126000000.0,124000000.0,,,125000000.0,125000000.0,0.016129032258064516,0.0012229566432751943,46.0,2,125000000.0
FLORIDA,Milk,1931,1932,255000000.0,251000000.0,241000000.0,,,246000000.0,246000000.0,0.04149377593360996,0.00243620728144503,42.0,2,246000000.0
GEORGIA,Milk,1931,1932,1095000000.0,1068000000.0,1066000000.0,,,1067000000.0,1067000000.0,0.001876172607879925,0.010366013452523077,27.0,2,1067000000.0
IDAHO,Milk,1931,1932,1034000000.0,1027000000.0,1000000000.0,,,1013500000.0,1013500000.0,0.027,0.00996806724320337,29.0,2,1013500000.0
ILLINOIS,Milk,1931,1932,4880000000.0,4727000000.0,4650000000.0,,,4688500000.0,4688500000.0,0.016559139784946237,0.0458802861330305,5.0,2,4688500000.0
INDIANA,Milk,1931,1932,3112000000.0,3085000000.0,2931000000.0,,,3008000000.0,3008000000.0,0.052541794609348345,0.029943025750031545,13.0,2,3008000000.0
IOWA,Milk,1931,1932,6046000000.0,5948000000.0,5927000000.0,,,5937500000.0,5937500000.0,0.0035431078117091276,0.05773131836667346,4.0,2,5937500000.0
KANSAS,Milk,1931,1932,3328000000.0,3215000000.0,3058000000.0,,,3136500000.0,3136500000.0,0.0513407455853499,0.031204806413728175,12.0,2,3136500000.0
KENTUCKY,Milk,1931,1932,1868000000.0,1809000000.0,1748000000.0,,,1778500000.0,1778500000.0,0.03489702517162471,0.017558163235593862,18.0,2,1778500000.0
LOUISIANA,Milk,1931,1932,571000000.0,552000000.0,533000000.0,,,542500000.0,542500000.0,0.03564727954971857,0.005357714818157994,38.0,2,542500000.0
MAINE,Milk,1931,1932,665000000.0,663000000.0,661000000.0,,,662000000.0,662000000.0,0.0030257186081694403,0.006435081384852808,35.0,2,662000000.0
MARYLAND,Milk,1931,1932,765000000.0,770000000.0,752000000.0,,,761000000.0,761000000.0,0.023936170212765957,0.007473623931126188,31.0,2,761000000.0
MASSACHUSETTS,Milk,1931,1932,742000000.0,755000000.0,767000000.0,,,761000000.0,761000000.0,-0.01564537157757497,0.007328033854545808,32.0,2,761000000.0
MICHIGAN,Milk,1931,1932,4294000000.0,4217000000.0,4014000000.0,,,4115500000.0,4115500000.0,0.05057299451918286,0.04093022352929758,8.0,2,4115500000.0
MINNESOTA,Milk,1931,1932,7867000000.0,7727000000.0,7590000000.0,,,7658500000.0,7658500000.0,0.01805006587615283,0.07499830144910656,2.0,2,7658500000.0
MISSISSIPPI,Milk,1931,1932,1337000000.0,1287000000.0,1212000000.0,,,1249500000.0,1249500000.0,0.06188118811881188,0.012491628570596628,24.0,2,1249500000.0
MISSOURI,Milk,1931,1932,3650000000.0,3627000000.0,3471000000.0,,,3549000000.0,3549000000.0,0.0449438202247191,0.03520368051713595,11.0,2,3549000000.0
MONTANA,Milk,1931,1932,746000000.0,743000000.0,793000000.0,,,768000000.0,768000000.0,-0.06305170239596469,0.007211561793281503,33.0,2,768000000.0
NEBRASKA,Milk,1931,1932,2890000000.0,2864000000.0,2806000000.0,,,2835000000.0,2835000000.0,0.020669992872416252,0.027797998621747276,14.0,2,2835000000.0
NEVADA,Milk,1931,1932,106000000.0,108000000.0,116000000.0,,,112000000.0,112000000.0,-0.06896551724137931,0.0010482485513787381,47.0,2,112000000.0
NEW HAMPSHIRE,Milk,1931,1932,387000000.0,379000000.0,382000000.0,,,380500000.0,380500000.0,-0.007853403141361256,0.0036785759349309416,40.0,2,380500000.0
NEW JERSEY,Milk,1931,1932,733000000.0,736000000.0,730000000.0,,,733000000.0,733000000.0,0.00821917808219178,0.007143619757543992,34.0,2,733000000.0
NEW MEXICO,Milk,1931,1932,231000000.0,228000000.0,221000000.0,,,224500000.0,224500000.0,0.03167420814479638,0.00221296916402178,43.0,2,224500000.0
NEW YORK,Milk,1931,1932,7340000000.0,7367000000.0,7068000000.0,,,7217500000.0,7217500000.0,0.042303338992642894,0.07150413961117744,3.0,2,7217500000.0
NORTH CAROLINA,Milk,1931,1932,1226000000.0,1162000000.0,1082000000.0,,,1122000000.0,1122000000.0,0.07393715341959335,0.011278377932426793,26.0,2,1122000000.0
NORTH DAKOTA,Milk,1931,1932,2258000000.0,2268000000.0,2136000000.0,,,2202000000.0,2202000000.0,0.06179775280898876,0.0220132195789535,16.0,2,2202000000.0
OHIO,Milk,1931,1932,4272000000.0,4278000000.0,4117000000.0,,,4197500000.0,4197500000.0,0.03910614525139665,0.04152228984072446,7.0,2,4197500000.0
OKLAHOMA,Milk,1931,1932,2498000000.0,2366000000.0,2217000000.0,,,2291500000.0,2291500000.0,0.06720793865584122,0.02296440807927865,15.0,2,2291500000.0
OREGON,Milk,1931,1932,1300000000.0,1307000000.0,1265000000.0,,,1286000000.0,1286000000.0,0.03320158102766799,0.012685748672703803,23.0,2,1286000000.0
PENNSYLVANIA,Milk,1931,1932,4293000000.0,4427000000.0,4322000000.0,,,4374500000.0,4374500000.0,0.024294308190652477,0.0429684846014229,6.0,2,4374500000.0
RHODE ISLAND,Milk,1931,1932,132000000.0,132000000.0,133000000.0,,,132500000.0,132500000.0,-0.007518796992481203,0.0012811926739073464,45.0,2,132500000.0
SOUTH CAROLINA,Milk,1931,1932,547000000.0,526000000.0,496000000.0,,,511000000.0,511000000.0,0.06048387096774194,0.005105358685418669,39.0,2,511000000.0
SOUTH DAKOTA,Milk,1931,1932,2051000000.0,2180000000.0,2197000000.0,,,2188500000.0,2188500000.0,-0.007737824305871643,0.021159091129681933,17.0,2,2188500000.0
TENNESSEE,Milk,1931,1932,1691000000.0,1648000000.0,1592000000.0,,,1620000000.0,1620000000.0,0.035175879396984924,0.015995496413631113,20.0,2,1620000000.0
TEXAS,Milk,1931,1932,4010000000.0,3858000000.0,3655000000.0,,,3756500000.0,3756500000.0,0.05554035567715458,0.03744576769647381,10.0,2,3756500000.0
UTAH,Milk,1931,1932,562000000.0,578000000.0,575000000.0,,,576500000.0,576500000.0,0.0052173913043478265,0.00561007095089732,37.0,2,576500000.0
VERMONT,Milk,1931,1932,1339000000.0,1336000000.0,1291000000.0,,,1313500000.0,1313500000.0,0.034856700232378,0.012967222820759204,21.0,2,1313500000.0
VIRGINIA,Milk,1931,1932,1309000000.0,1324000000.0,1234000000.0,,,1279000000.0,1279000000.0,0.07293354943273905,0.0128507507594949,22.0,2,1279000000.0
WASHINGTON,Milk,1931,1932,1721000000.0,1711000000.0,1663000000.0,,,1687000000.0,1687000000.0,0.028863499699338546,0.01660697473526871,19.0,2,1687000000.0
WEST VIRGINIA,Milk,1931,1932,814000000.0,793000000.0,731000000.0,,,762000000.0,762000000.0,0.08481532147742818,0.0076968620485494375,30.0,2,762000000.0
WISCONSIN,Milk,1931,1932,10992000000.0,11305000000.0,11207000000.0,,,11256000000.0,11256000000.0,0.008744534665833853,0.10972638771607994,1.0,2,11256000000.0
WYOMING,Milk,1931,1932,273000000.0,284000000.0,282000000.0,,,283000000.0,283000000.0,0.0070921985815602835,0.0027565054499218665,41.0,2,283000000.0
ALABAMA,Milk,1932,1933,1217000000.0,1224000000.0,1167000000.0,1134000000.0,,1175000000.0,1175000000.0,0.04884318766066838,0.011790771601965129,27.0,3,1175000000.0
ARIZONA,Milk,1932,1933,216000000.0,200000000.0,200000000.0,194000000.0,,198000000.0,198000000.0,0.0,0.001926596666987766,45.0,3,198000000.0
ARKANSAS,Milk,1932,1933,1254000000.0,1251000000.0,1167000000.0,1092000000.0,,1170000000.0,1170000000.0,0.07197943444730077,0.012050862152008478,25.0,3,1170000000.0
CALIFORNIA,Milk,1932,1933,4076000000.0,4118000000.0,4052000000.0,4002000000.0,,4057333333.3333335,4057333333.3333335,0.016288252714708785,0.0396686253732781,9.0,3,4057333333.3333335
COLORADO,Milk,1932,1933,1076000000.0,1016000000.0,1062000000.0,1086000000.0,,1054666666.6666666,1054666666.6666666,-0.04331450094161959,0.009787111068297851,30.0,3,1054666666.6666666
CONNECTICUT,Milk,1932,1933,632000000.0,645000000.0,619000000.0,594000000.0,,619333333.3333334,619333333.3333334,0.0420032310177706,0.006213274251035546,37.0,3,619333333.3333334
DELAWARE,Milk,1932,1933,129000000.0,126000000.0,126000000.0,124000000.0,,125333333.33333333,125333333.33333333,0.0,0.0012137559002022927,47.0,3,125333333.33333333
FLORIDA,Milk,1932,1933,263000000.0,255000000.0,251000000.0,241000000.0,,249000000.0,249000000.0,0.01593625498007968,0.0024564107504094017,43.0,3,249000000.0
GEORGIA,Milk,1932,1933,1116000000.0,1095000000.0,1068000000.0,1066000000.0,,1076333333.3333333,1076333333.3333333,0.025280898876404494,0.01054811675175802,28.0,3,1076333333.3333333
IDAHO,Milk,1932,1933,1056000000.0,1034000000.0,1027000000.0,1000000000.0,,1020333333.3333334,1020333333.3333334,0.006815968841285297,0.009960504768326751,29.0,3,1020333333.3333334
ILLINOIS,Milk,1932,1933,5051000000.0,4880000000.0,4727000000.0,4650000000.0,,4752333333.333333,4752333333.333333,0.032367251956843666,0.04700895867450149,5.0,3,4752333333.333333
INDIANA,Milk,1932,1933,3128000000.0,3112000000.0,3085000000.0,2931000000.0,,3042666666.6666665,3042666666.6666665,0.008752025931928687,0.02997784413832964,13.0,3,3042666666.6666665
IOWA,Milk,1932,1933,6287000000.0,6046000000.0,5948000000.0,5927000000.0,,5973666666.666667,5973666666.666667,0.01647612642905178,0.05824101724304017,4.0,3,5973666666.666667
KANSAS,Milk,1932,1933,3456000000.0,3328000000.0,3215000000.0,3058000000.0,,3200333333.3333335,3200333333.3333335,0.035147744945567654,0.032058568538676425,12.0,3,3200333333.3333335
KENTUCKY,Milk,1932,1933,1928000000.0,1868000000.0,1809000000.0,1748000000.0,,1808333333.3333333,1808333333.3333333,0.0326147042564953,0.017994412869665737,18.0,3,1808333333.3333333
LOUISIANA,Milk,1932,1933,582000000.0,571000000.0,552000000.0,533000000.0,,552000000.0,552000000.0,0.034420289855072464,0.005500433484250072,38.0,3,552000000.0
MAINE,Milk,1932,1933,639000000.0,665000000.0,663000000.0,661000000.0,,663000000.0,663000000.0,0.0030165912518853697,0.0064059339177343225,36.0,3,663000000.0
MARYLAND,Milk,1932,1933,770000000.0,765000000.0,770000000.0,752000000.0,,762333333.3333334,762333333.3333334,-0.006493506493506494,0.007369232251228206,32.0,3,762333333.3333334
MASSACHUSETTS,Milk,1932,1933,742000000.0,742000000.0,755000000.0,767000000.0,,754666666.6666666,754666666.6666666,-0.017218543046357615,0.007147673634524612,34.0,3,754666666.6666666
MICHIGAN,Milk,1932,1933,4297000000.0,4294000000.0,4217000000.0,4014000000.0,,4175000000.0,4175000000.0,0.018259426132321555,0.04136403044022734,6.0,3,4175000000.0
MINNESOTA,Milk,1932,1933,8166000000.0,7867000000.0,7727000000.0,7590000000.0,,7728000000.0,7728000000.0,0.018118286527759802,0.07578267989596378,2.0,3,7728000000.0
MISSISSIPPI,Milk,1932,1933,1321000000.0,1337000000.0,1287000000.0,1212000000.0,,1278666666.6666667,1278666666.6666667,0.03885003885003885,0.012879298718813216,22.0,3,1278666666.6666667
MISSOURI,Milk,1932,1933,3578000000.0,3650000000.0,3627000000.0,3471000000.0,,3582666666.6666665,3582666666.6666665,0.006341328921974083,0.03516038917252673,11.0,3,3582666666.6666665
MONTANA,Milk,1932,1933,755000000.0,746000000.0,743000000.0,793000000.0,,760666666.6666666,760666666.6666666,0.004037685060565276,0.007186205567864368,33.0,3,760666666.6666666
NEBRASKA,Milk,1932,1933,3163000000.0,2890000000.0,2864000000.0,2806000000.0,,2853333333.3333335,2853333333.3333335,0.009078212290502794,0.02783932183797322,14.0,3,2853333333.3333335
NEVADA,Milk,1932,1933,105000000.0,106000000.0,108000000.0,116000000.0,,110000000.0,110000000.0,-0.018518518518518517,0.001021096233503516,48.0,3,110000000.0
NEW HAMPSHIRE,Milk,1932,1933,383000000.0,387000000.0,379000000.0,382000000.0,,382666666.6666667,382666666.6666667,0.021108179419525065,0.0037279645506213275,41.0,3,382666666.6666667
NEW JERSEY,Milk,1932,1933,765000000.0,733000000.0,736000000.0,730000000.0,,733000000.0,733000000.0,-0.004076086956521739,0.007060976784510163,35.0,3,733000000.0
NEW MEXICO,Milk,1932,1933,230000000.0,231000000.0,228000000.0,221000000.0,,226666666.66666666,226666666.66666666,0.013157894736842105,0.00222521915037087,44.0,3,226666666.66666666
NEW YORK,Milk,1932,1933,7297000000.0,7340000000.0,7367000000.0,7068000000.0,,7258333333.333333,7258333333.333333,-0.0036649925342744673,0.07070609767845101,3.0,3,7258333333.333333
NORTH CAROLINA,Milk,1932,1933,1232000000.0,1226000000.0,1162000000.0,1082000000.0,,1156666666.6666667,1156666666.6666667,0.055077452667814115,0.011810037568635006,26.0,3,1156666666.6666667
NORTH DAKOTA,Milk,1932,1933,2278000000.0,2258000000.0,2268000000.0,2136000000.0,,2220666666.6666665,2220666666.6666665,-0.004409171075837742,0.02175127637029188,16.0,3,2220666666.6666665
OHIO,Milk,1932,1933,4281000000.0,4272000000.0,4278000000.0,4117000000.0,,4222333333.3333335,4222333333.3333335,-0.001402524544179523,0.041152104806858686,8.0,3,4222333333.3333335
OKLAHOMA,Milk,1932,1933,2506000000.0,2498000000.0,2366000000.0,2217000000.0,,2360333333.3333335,2360333333.3333335,0.055790363482671176,0.024063192370677198,15.0,3,2360333333.3333335
OREGON,Milk,1932,1933,1256000000.0,1300000000.0,1307000000.0,1265000000.0,,1290666666.6666667,1290666666.6666667,-0.005355776587605203,0.012522878335420479,24.0,3,1290666666.6666667
PENNSYLVANIA,Milk,1932,1933,4299000000.0,4293000000.0,4427000000.0,4322000000.0,,4347333333.333333,4347333333.333333,-0.03026880505985995,0.0413543974568924,7.0,3,4347333333.333333
RHODE ISLAND,Milk,1932,1933,132000000.0,132000000.0,132000000.0,133000000.0,,132333333.33333333,132333333.33333333,0.0,0.0012715538002119257,46.0,3,132333333.33333333
SOUTH CAROLINA,Milk,1932,1933,558000000.0,547000000.0,526000000.0,496000000.0,,523000000.0,523000000.0,0.039923954372623575,0.00526924188421154,40.0,3,523000000.0
SOUTH DAKOTA,Milk,1932,1933,2118000000.0,2051000000.0,2180000000.0,2197000000.0,,2142666666.6666667,2142666666.6666667,-0.05917431192660551,0.019757248819959543,17.0,3,2142666666.6666667
TENNESSEE,Milk,1932,1933,1722000000.0,1691000000.0,1648000000.0,1592000000.0,,1643666666.6666667,1643666666.6666667,0.026092233009708737,0.01628937481938156,20.0,3,1643666666.6666667
TEXAS,Milk,1932,1933,3909000000.0,4010000000.0,3858000000.0,3655000000.0,,3841000000.0,3841000000.0,0.03939865215137377,0.03862826317310471,10.0,3,3841000000.0
UTAH,Milk,1932,1933,560000000.0,562000000.0,578000000.0,575000000.0,,571666666.6666666,571666666.6666666,-0.02768166089965398,0.005413736634235623,39.0,3,571666666.6666666
VERMONT,Milk,1932,1933,1305000000.0,1339000000.0,1336000000.0,1291000000.0,,1322000000.0,1322000000.0,0.002245508982035928,0.012898564685483093,21.0,3,1322000000.0
VIRGINIA,Milk,1932,1933,1304000000.0,1309000000.0,1324000000.0,1234000000.0,,1289000000.0,1289000000.0,-0.011329305135951661,0.01260957518543493,23.0,3,1289000000.0
WASHINGTON,Milk,1932,1933,1685000000.0,1721000000.0,1711000000.0,1663000000.0,,1698333333.3333333,1698333333.3333333,0.0058445353594389245,0.016578364319429727,19.0,3,1698333333.3333333
WEST VIRGINIA,Milk,1932,1933,804000000.0,814000000.0,793000000.0,731000000.0,,779333333.3333334,779333333.3333334,0.02648171500630517,0.007841248434640208,31.0,3,779333333.3333334
WISCONSIN,Milk,1932,1933,10851000000.0,10992000000.0,11305000000.0,11207000000.0,,11168000000.0,11168000000.0,-0.02768686421937196,0.10588575281764763,1.0,3,11168000000.0
WYOMING,Milk,1932,1933,284000000.0,273000000.0,284000000.0,282000000.0,,279666666.6666667,279666666.6666667,-0.03873239436619718,0.0026298044504383007,42.0,3,279666666.6666667
ALABAMA,Milk,1933,1934,1226000000.0,1217000000.0,1224000000.0,1167000000.0,1134000000.0,1202666666.6666667,1185500000.0,-0.005718954248366013,0.011616807621083981,27.0,4,1185500000.0
ARIZONA,Milk,1933,1934,225000000.0,216000000.0,200000000.0,200000000.0,194000000.0,205333333.33333334,202500000.0,0.08,0.0020618163074397206,45.0,4,202500000.0
ARKANSAS,Milk,1933,1934,1236000000.0,1254000000.0,1251000000.0,1167000000.0,1092000000.0,1224000000.0,1191000000.0,0.002398081534772182,0.01196998911819171,25.0,4,1191000000.0
CALIFORNIA,Milk,1933,1934,4118000000.0,4076000000.0,4118000000.0,4052000000.0,4002000000.0,4082000000.0,4062000000.0,-0.010199125789218067,0.03890723735705695,9.0,4,4062000000.0
COLORADO,Milk,1933,1934,1037000000.0,1076000000.0,1016000000.0,1062000000.0,1086000000.0,1051333333.3333334,1060000000.0,0.05905511811023622,0.010270899753727497,29.0,4,1060000000.0
CONNECTICUT,Milk,1933,1934,616000000.0,632000000.0,645000000.0,619000000.0,594000000.0,632000000.0,622500000.0,-0.020155038759689922,0.006032721788434738,37.0,4,622500000.0
DELAWARE,Milk,1933,1934,125000000.0,129000000.0,126000000.0,126000000.0,124000000.0,127000000.0,126250000.0,0.023809523809523808,0.0012313625169431664,47.0,4,126250000.0
FLORIDA,Milk,1933,1934,274000000.0,263000000.0,255000000.0,251000000.0,241000000.0,256333333.33333334,252500000.0,0.03137254901960784,0.0025104522632252153,43.0,4,252500000.0
GEORGIA,Milk,1933,1934,1109000000.0,1116000000.0,1095000000.0,1068000000.0,1066000000.0,1093000000.0,1086250000.0,0.019178082191780823,0.010652717588438556,28.0,4,1086250000.0
IDAHO,Milk,1933,1934,1004000000.0,1056000000.0,1034000000.0,1027000000.0,1000000000.0,1039000000.0,1029250000.0,0.02127659574468085,0.010079990836371967,30.0,4,1029250000.0
ILLINOIS,Milk,1933,1934,5081000000.0,5051000000.0,4880000000.0,4727000000.0,4650000000.0,4886000000.0,4827000000.0,0.03504098360655738,0.04821404707813902,5.0,4,4827000000.0
INDIANA,Milk,1933,1934,3048000000.0,3128000000.0,3112000000.0,3085000000.0,2931000000.0,3108333333.3333335,3064000000.0,0.005141388174807198,0.029858154674404842,14.0,4,3064000000.0
IOWA,Milk,1933,1934,6150000000.0,6287000000.0,6046000000.0,5948000000.0,5927000000.0,6093666666.666667,6052000000.0,0.039861065167052595,0.06001221817071076,4.0,4,6052000000.0
KANSAS,Milk,1933,1934,3238000000.0,3456000000.0,3328000000.0,3215000000.0,3058000000.0,3333000000.0,3264250000.0,0.038461538461538464,0.03298906091903553,12.0,4,3264250000.0
KENTUCKY,Milk,1933,1934,1904000000.0,1928000000.0,1868000000.0,1809000000.0,1748000000.0,1868333333.3333333,1838250000.0,0.032119914346895075,0.018403619633073062,18.0,4,1838250000.0
LOUISIANA,Milk,1933,1934,594000000.0,582000000.0,571000000.0,552000000.0,533000000.0,568333333.3333334,559500000.0,0.01926444833625219,0.005555449495045914,38.0,4,559500000.0
MAINE,Milk,1933,1934,635000000.0,639000000.0,665000000.0,663000000.0,661000000.0,655666666.6666666,657000000.0,-0.039097744360902256,0.006099539909509173,36.0,4,657000000.0
MARYLAND,Milk,1933,1934,769000000.0,770000000.0,765000000.0,770000000.0,752000000.0,768333333.3333334,764250000.0,0.006535947712418301,0.007349993318187893,32.0,4,764250000.0
MASSACHUSETTS,Milk,1933,1934,747000000.0,742000000.0,742000000.0,755000000.0,767000000.0,746333333.3333334,751500000.0,0.0,0.007082720833890151,35.0,4,751500000.0
